index,单价,小区名字,建筑面积,总价,户型,朝向,楼层,装修
0,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
1,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
2,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
3,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
4,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
5,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
6,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
7,30222元/平米,麓山国际逸翠谷,225平米,680万,4室3厅4卫,东,高层,精装修
8,32164元/平米,麓山国际圣安德鲁,342平米,1100万,5室4厅5卫,南,高层,毛坯
9,26247元/平米,麓山国际圣安德鲁,381平米,1000万,5室4厅5卫,东,高层,豪华装修
10,38877元/平米,麓山国际碧影溪,463平米,1800万,5室4厅5卫,南,高层,精装修
11,36923元/平米,麓山国际长岛,455平米,1680万,6室5厅6卫,东,高层,毛坯
12,15957元/平米,三利宅院白云渡,263.2平米,420万,4室3厅4卫,南,低层,精装修
13,14460元/平米,三利宅院白云渡,275.25平米,398万,4室3厅1卫,南,低层,毛坯
14,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
15,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
16,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
17,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
18,17179元/平米,蜀郡一期,156平米,268万,4室2厅2卫,南北,高层,精装修
19,11417元/平米,和泓半山,254平米,290万,4室3厅4卫,南,低层,毛坯
20,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,低层,毛坯
21,15099元/平米,南湖国际社区,177.5平米,268万,4室2厅3卫,西南,高层,简装修
22,13974元/平米,南湖国际社区二期,156平米,218万,4室2厅3卫,南,低层,毛坯
23,12069元/平米,合能枫丹铂麓,58平米,70万,4室2厅2卫,南北,中层,精装修
25,18667元/平米,恒大名都,75平米,140万,2室2厅1卫,南,中层,简装修
26,15377元/平米,南湖国际社区二期,134.62平米,207万,3室2厅2卫,东,中层,毛坯
27,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,东,低层,毛坯
28,15530元/平米,河畔新世界,132平米,205万,3室2厅1卫,西南,中层,毛坯
29,18333元/平米,双华麓港,72平米,132万,2室1厅1卫,东,高层,毛坯
0,30480元/平米,麓山国际橡树坡,479平米,1460万,5室3厅5卫,南,低层,豪华装修
1,9668元/平米,雅居乐富春山居,331平米,320万,4室2厅4卫,东,低层,毛坯
2,20391元/平米,麓山国际拉佩维尔,179平米,365万,3室2厅2卫,东,中层,豪华装修
3,20000元/平米,麓山国际社区云曦台,150平米,300万,4室2厅3卫,南,中层,毛坯
6,19947元/平米,麓山国际圣安德鲁,376平米,750万,5室3厅5卫,南,低层,毛坯
7,14400元/平米,鑫苑鑫都汇,75平米,108万,3室2厅1卫,南,中层,简装修
8,18719元/平米,成都雅居乐花园别墅,203平米,380万,5室2厅4卫,南,低层,毛坯
9,25263元/平米,万锦城,95平米,240万,5室1厅1卫,南北,高层,毛坯
11,8800元/平米,三都汇朝外,90平米,79.2万,3室1厅1卫,西北,中层,毛坯
12,16667元/平米,麓山国际社区云曦台,99平米,165万,3室2厅2卫,南,中层,毛坯
13,12107元/平米,麓山国际社区茵特拉肯,413平米,500万,7室3厅4卫,南北,高层,毛坯
14,13043元/平米,中铁诺德壹号,115平米,150万,3室2厅2卫,南,中层,毛坯
15,21238元/平米,麓山国际社区茵特拉肯,150.67平米,320万,4室3厅2卫,东南,中层,毛坯
16,10802元/平米,金南园,162平米,175万,4室2厅2卫,南北,高层,精装修
17,13812元/平米,麓山国际圣芭芭拉,362平米,500万,5室3厅4卫,南,低层,简装修
18,15616元/平米,心怡紫晶城,134.48平米,210万,3室2厅2卫,南,低层,精装修
19,15500元/平米,万锦城,100平米,155万,3室3厅2卫,南,中层,毛坯
22,14824元/平米,鑫苑鑫都汇,85平米,126万,3室2厅1卫,南,中层,毛坯
23,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
24,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
25,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
26,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
27,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
28,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
29,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
0,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
1,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
2,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
3,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
4,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
5,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
6,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
7,30222元/平米,麓山国际逸翠谷,225平米,680万,4室3厅4卫,东,高层,精装修
8,32164元/平米,麓山国际圣安德鲁,342平米,1100万,5室4厅5卫,南,高层,毛坯
9,26247元/平米,麓山国际圣安德鲁,381平米,1000万,5室4厅5卫,东,高层,豪华装修
10,38877元/平米,麓山国际碧影溪,463平米,1800万,5室4厅5卫,南,高层,精装修
11,36923元/平米,麓山国际长岛,455平米,1680万,6室5厅6卫,东,高层,毛坯
12,15957元/平米,三利宅院白云渡,263.2平米,420万,4室3厅4卫,南,低层,精装修
13,14460元/平米,三利宅院白云渡,275.25平米,398万,4室3厅1卫,南,低层,毛坯
14,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
15,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
16,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
17,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
18,17179元/平米,蜀郡一期,156平米,268万,4室2厅2卫,南北,高层,精装修
19,11417元/平米,和泓半山,254平米,290万,4室3厅4卫,南,低层,毛坯
20,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,低层,毛坯
21,15099元/平米,南湖国际社区,177.5平米,268万,4室2厅3卫,西南,高层,简装修
22,13974元/平米,南湖国际社区二期,156平米,218万,4室2厅3卫,南,低层,毛坯
23,12069元/平米,合能枫丹铂麓,58平米,70万,4室2厅2卫,南北,中层,精装修
25,18667元/平米,恒大名都,75平米,140万,2室2厅1卫,南,中层,简装修
26,15377元/平米,南湖国际社区二期,134.62平米,207万,3室2厅2卫,东,中层,毛坯
27,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,东,低层,毛坯
28,15530元/平米,河畔新世界,132平米,205万,3室2厅1卫,西南,中层,毛坯
29,18333元/平米,双华麓港,72平米,132万,2室1厅1卫,东,高层,毛坯
0,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
1,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
2,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
3,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
4,17179元/平米,蜀郡一期,156平米,268万,4室2厅2卫,南北,高层,精装修
5,11417元/平米,和泓半山,254平米,290万,4室3厅4卫,南,低层,毛坯
6,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,低层,毛坯
7,15099元/平米,南湖国际社区,177.5平米,268万,4室2厅3卫,西南,高层,简装修
8,13974元/平米,南湖国际社区二期,156平米,218万,4室2厅3卫,南,低层,毛坯
9,12069元/平米,合能枫丹铂麓,58平米,70万,4室2厅2卫,南北,中层,精装修
11,18667元/平米,恒大名都,75平米,140万,2室2厅1卫,南,中层,简装修
12,15377元/平米,南湖国际社区二期,134.62平米,207万,3室2厅2卫,东,中层,毛坯
13,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,东,低层,毛坯
14,15530元/平米,河畔新世界,132平米,205万,3室2厅1卫,西南,中层,毛坯
15,18333元/平米,双华麓港,72平米,132万,2室1厅1卫,东,高层,毛坯
16,16162元/平米,宏达世纪锦城,99平米,160万,3室2厅2卫,南,中层,毛坯
17,19749元/平米,河畔新世界,141.78平米,280万,4室2厅2卫,西南,高层,精装修
19,17619元/平米,宏达世纪锦城,84平米,148万,2室2厅1卫,南,低层,简装修
20,14375元/平米,成都玩家,96平米,138万,3室2厅2卫,南,低层,简装修
21,15625元/平米,海伦印象,96平米,150万,3室2厅1卫,南,中层,精装修
22,17280元/平米,恒大天府半岛,89.7平米,155万,2室2厅1卫,南,中层,简装修
23,17340元/平米,恒大天府半岛,94平米,163万,2室2厅1卫,南,中层,简装修
24,16735元/平米,恒大天府半岛,166.12平米,278万,4室2厅2卫,西南,中层,中装修
25,16667元/平米,宏达世纪锦城,78平米,130万,2室2厅1卫,南北,中层,简装修
26,14533元/平米,双华麓港,144.5平米,210万,4室2厅2卫,南北,高层,简装修
27,20140元/平米,新鸿基悦城,143平米,288万,3室2厅2卫,东北,中层,简装修
28,21894元/平米,新鸿基悦城,132平米,289万,3室2厅2卫,东北,中层,简装修
29,15625元/平米,新鸿基悦城,192平米,300万,4室2厅3卫,南北,中层,简装修
0,22036元/平米,麓山国际麓镇帕萨迪纳,126.16平米,278万,3室2厅2卫,南北,低层,毛坯
2,26068元/平米,成都雅居乐花园别墅,234平米,610万,5室2厅4卫,南,低层,精装修
3,15458元/平米,碧桂园海昌天澜,262平米,405万,4室2厅3卫,南北,高层,简装修
5,10054元/平米,雅居乐花园,184平米,185万,4室2厅3卫,西南,高层,毛坯
6,16871元/平米,恒大天府半岛,147平米,248万,3室2厅2卫,南,中层,精装修
7,19326元/平米,新鸿基悦城,163.51平米,316万,4室2厅2卫,南北,中层,豪华装修
8,39548元/平米,麓湖生态城蓝花屿,354平米,1400万,5室3厅4卫,南,低层,精装修
9,11667元/平米,铂雅苑,360平米,420万,4室2厅2卫,东南,低层,豪华装修
10,19068元/平米,天府美岸,118平米,225万,4室2厅2卫,东西,中层,毛坯
11,20595元/平米,宏达世纪锦城,84平米,173万,2室2厅1卫,西,低层,豪华装修
12,15414元/平米,麓山国际茵特拉肯,133平米,205万,2室2厅1卫,南北,低层,精装修
14,16290元/平米,麓山国际社区茵特拉肯,221平米,360万,3室2厅2卫,西南,中层,毛坯
15,21321元/平米,麓山国际圣安德鲁,333平米,710万,5室3厅3卫,东,低层,毛坯
16,19896元/平米,麓山国际塞尔维蒙,145.76平米,290万,2室2厅2卫,南北,高层,精装修
17,20299元/平米,麓山国际,335平米,680万,4室2厅3卫,北,高层,简装修
19,14249元/平米,新鸿基悦城,192.99平米,275万,4室2厅3卫,南北,低层,毛坯
20,18182元/平米,佳兆业君汇上品,132平米,240万,4室2厅2卫,东西,高层,精装修
21,14722元/平米,天府美岸,180平米,265万,4室2厅3卫,南北,高层,毛坯
22,30480元/平米,麓山国际橡树坡,479平米,1460万,5室3厅5卫,南,低层,豪华装修
23,9668元/平米,雅居乐富春山居,331平米,320万,4室2厅4卫,东,低层,毛坯
24,20391元/平米,麓山国际拉佩维尔,179平米,365万,3室2厅2卫,东,中层,豪华装修
25,20000元/平米,麓山国际社区云曦台,150平米,300万,4室2厅3卫,南,中层,毛坯
28,19947元/平米,麓山国际圣安德鲁,376平米,750万,5室3厅5卫,南,低层,毛坯
0,30137元/平米,麓山国际叠溪谷,365平米,1100万,5室4厅4卫,东,低层,豪华装修
1,13953元/平米,欧香小镇别墅,430平米,600万,4室2厅2卫,南,高层,毛坯
3,12892元/平米,三利麓山城,83平米,107万,2室2厅1卫,南北,低层,简装修
4,15678元/平米,左岸花都,199平米,312万,4室3厅3卫,南北,高层,精装修
5,17865元/平米,恒大名都,89平米,159万,3室2厅2卫,南,高层,精装修
6,15222元/平米,和贵馨城,229.93平米,350万,4室2厅3卫,东,高层,简装修
7,15004元/平米,和贵馨城,321.92平米,483万,5室2厅3卫,南,高层,精装修
8,16667元/平米,戛纳滨江,90平米,150万,3室2厅2卫,南北,低层,精装修
9,18939元/平米,德商华府天骄,66平米,125万,3室2厅1卫,西,低层,毛坯
10,10519元/平米,城南领寓,54平米,56.8万,1室1厅1卫,南北,高层,精装修
11,16216元/平米,融创Nano公馆,37平米,60万,1室1厅1卫,东南,高层,精装修
12,16779元/平米,佳兆业君汇上品,86.42平米,145万,3室2厅1卫,西,高层,毛坯
13,16102元/平米,麓山国际茵特拉肯,133.52平米,215万,3室2厅2卫,东南,低层,精装修
14,19828元/平米,蜀郡一期,116平米,230万,3室2厅2卫,东,中层,中装修
15,20776元/平米,宏达世纪锦城,84.23平米,175万,2室1厅1卫,东,低层,精装修
16,19872元/平米,蜀郡一期,156平米,310万,3室2厅2卫,南,低层,精装修
17,19381元/平米,保利叶语,97平米,188万,3室2厅1卫,南北,中层,精装修
18,22036元/平米,麓山国际麓镇帕萨迪纳,126.16平米,278万,3室2厅2卫,南北,低层,毛坯
20,26068元/平米,成都雅居乐花园别墅,234平米,610万,5室2厅4卫,南,低层,精装修
21,15458元/平米,碧桂园海昌天澜,262平米,405万,4室2厅3卫,南北,高层,简装修
23,10054元/平米,雅居乐花园,184平米,185万,4室2厅3卫,西南,高层,毛坯
24,16871元/平米,恒大天府半岛,147平米,248万,3室2厅2卫,南,中层,精装修
25,19326元/平米,新鸿基悦城,163.51平米,316万,4室2厅2卫,南北,中层,豪华装修
26,39548元/平米,麓湖生态城蓝花屿,354平米,1400万,5室3厅4卫,南,低层,精装修
0,17375元/平米,中海右岸,160平米,278万,5室2厅2卫,南,中层,毛坯
2,14862元/平米,家益欣城,124.48平米,185万,3室2厅2卫,南北,低层,简装修
3,21348元/平米,光明城市,89平米,190万,3室2厅2卫,南北,低层,精装修
4,24876元/平米,麓湖生态城澜语溪岸,201平米,500万,4室2厅2卫,南,低层,毛坯
5,15730元/平米,中海右岸,89平米,140万,3室2厅1卫,南,中层,毛坯
6,19608元/平米,麓山国际社区茵特拉肯,255平米,500万,4室2厅3卫,南,中层,精装修
7,13200元/平米,美城悦荣府,125平米,165万,3室2厅2卫,南,低层,毛坯
8,17984元/平米,光明城市,129平米,232万,3室2厅2卫,南北,中层,精装修
10,16990元/平米,中海右岸,103平米,175万,3室2厅2卫,东南,低层,精装修
11,14483元/平米,洛森堡新殿,145平米,210万,4室2厅2卫,南北,中层,精装修
12,17531元/平米,蜀郡一期,81平米,142万,2室2厅1卫,南北,高层,简装修
15,7590元/平米,华阳吉祥苑,184.45平米,140万,4室2厅2卫,南北,高层,中装修
17,20543元/平米,中海右岸,129平米,265万,4室2厅1卫,南,中层,毛坯
18,16809元/平米,鑫苑鑫都汇,74.96平米,126万,3室2厅1卫,南,低层,毛坯
19,16637元/平米,洛森堡新殿,113平米,188万,5室2厅2卫,南,中层,精装修
20,13148元/平米,洛森堡映山,108平米,142万,3室2厅2卫,南北,中层,毛坯
21,14013元/平米,中海右岸,157平米,220万,4室2厅2卫,西南,低层,毛坯
23,23488元/平米,佳兆业君汇上品,86平米,202万,4室2厅2卫,西北,高层,毛坯
24,17647元/平米,麓山国际社区茵特拉肯,170平米,300万,3室2厅2卫,东南,低层,简装修
25,12500元/平米,家益欣城,132平米,165万,3室2厅2卫,南,高层,毛坯
26,20767元/平米,蔚蓝卡地亚,626平米,1300万,4室4厅5卫,南,低层,毛坯
27,11887元/平米,棠湖泊林城,106平米,126万,3室2厅2卫,南,低层,毛坯
29,12105元/平米,戛纳湾畔,95平米,115万,2室2厅2卫,南北,低层,毛坯
0,17531元/平米,蜀郡一期,81平米,142万,2室2厅1卫,南北,高层,简装修
3,7590元/平米,华阳吉祥苑,184.45平米,140万,4室2厅2卫,南北,高层,中装修
5,20543元/平米,中海右岸,129平米,265万,4室2厅1卫,南,中层,毛坯
6,16809元/平米,鑫苑鑫都汇,74.96平米,126万,3室2厅1卫,南,低层,毛坯
7,16637元/平米,洛森堡新殿,113平米,188万,5室2厅2卫,南,中层,精装修
8,13148元/平米,洛森堡映山,108平米,142万,3室2厅2卫,南北,中层,毛坯
9,14013元/平米,中海右岸,157平米,220万,4室2厅2卫,西南,低层,毛坯
11,23488元/平米,佳兆业君汇上品,86平米,202万,4室2厅2卫,西北,高层,毛坯
12,17647元/平米,麓山国际社区茵特拉肯,170平米,300万,3室2厅2卫,东南,低层,简装修
13,12500元/平米,家益欣城,132平米,165万,3室2厅2卫,南,高层,毛坯
14,20767元/平米,蔚蓝卡地亚,626平米,1300万,4室4厅5卫,南,低层,毛坯
15,11887元/平米,棠湖泊林城,106平米,126万,3室2厅2卫,南,低层,毛坯
17,12105元/平米,戛纳湾畔,95平米,115万,2室2厅2卫,南北,低层,毛坯
18,14537元/平米,新鸿基悦城,205平米,298万,4室2厅2卫,南北,中层,毛坯
19,15119元/平米,双华麓港,111.12平米,168万,3室2厅2卫,南,中层,简装修
20,18269元/平米,青南美湾,52平米,95万,2室2厅1卫,西南,低层,毛坯
21,17320元/平米,蜀郡二期,97平米,168万,3室2厅1卫,南北,低层,中装修
22,14902元/平米,欧香小镇,201.31平米,300万,3室2厅2卫,南北,低层,毛坯
23,18176元/平米,保利叶语,121.04平米,220万,4室2厅2卫,东西,高层,简装修
24,14773元/平米,锦官丽城亲水湾,132平米,195万,3室2厅2卫,南北,中层,精装修
25,12500元/平米,宏达世纪丽景,76平米,95万,2室1厅1卫,东北,高层,中装修
26,21311元/平米,麓山国际社区茵特拉肯,305平米,650万,5室3厅3卫,南,低层,豪华装修
27,18788元/平米,棕榈南岸,132平米,248万,3室2厅2卫,南北,低层,精装修
28,19143元/平米,棕榈南岸,140平米,268万,3室2厅2卫,南北,高层,豪华装修
29,16433元/平米,中海右岸,157平米,258万,4室2厅2卫,南,低层,毛坯
0,18176元/平米,保利叶语,121.04平米,220万,4室2厅2卫,东西,高层,简装修
1,14773元/平米,锦官丽城亲水湾,132平米,195万,3室2厅2卫,南北,中层,精装修
2,12500元/平米,宏达世纪丽景,76平米,95万,2室1厅1卫,东北,高层,中装修
3,21311元/平米,麓山国际社区茵特拉肯,305平米,650万,5室3厅3卫,南,低层,豪华装修
4,18788元/平米,棕榈南岸,132平米,248万,3室2厅2卫,南北,低层,精装修
5,19143元/平米,棕榈南岸,140平米,268万,3室2厅2卫,南北,高层,豪华装修
6,16433元/平米,中海右岸,157平米,258万,4室2厅2卫,南,低层,毛坯
7,13942元/平米,麓山国际半月湾,208平米,290万,4室2厅1卫,东西,中层,毛坯
10,16923元/平米,蜀郡二期,130平米,220万,4室2厅2卫,南北,低层,精装修
11,20455元/平米,融创南湖逸家,66平米,135万,3室2厅1卫,南北,中层,精装修
12,13762元/平米,南湖国际社区二期,276.13平米,380万,4室2厅3卫,东,低层,简装修
13,20903元/平米,麓湖生态城蓝花屿,421平米,880万,5室3厅5卫,南,低层,毛坯
14,12784元/平米,黄金海岸,176平米,225万,3室2厅3卫,南北,高层,豪华装修
15,20000元/平米,麓山国际社区茵特拉肯,150平米,300万,4室2厅2卫,南北,中层,简装修
16,14444元/平米,麓山国际solo,45平米,65万,1室1厅1卫,西南,中层,精装修
20,20581元/平米,蔚蓝卡地亚,413平米,850万,5室3厅4卫,南,低层,毛坯
22,15000元/平米,三利宅院白云渡,340平米,510万,5室4厅4卫,南,低层,毛坯
23,15123元/平米,建发浅水湾,529平米,800万,4室3厅4卫,南,低层,毛坯
24,12887元/平米,建发浅水湾,582平米,750万,4室3厅4卫,南,低层,毛坯
25,29412元/平米,建发浅水湾,680平米,2000万,6室5厅6卫,南,低层,毛坯
26,18534元/平米,原乡,232平米,430万,4室3厅4卫,南,低层,豪华装修
6,22491元/平米,蔚蓝卡地亚,289平米,650万,4室3厅3卫,南,低层,豪华装修
7,26930元/平米,蔚蓝卡地亚,612.7平米,1650万,5室3厅4卫,南,低层,毛坯
8,27515元/平米,蔚蓝卡地亚,581.5平米,1600万,5室3厅4卫,南,低层,毛坯
11,18661元/平米,戛纳滨江,48.23平米,90万,1室1厅1卫,南北,中层,精装修
12,20536元/平米,建发浅水湾,672平米,1380万,6室3厅5卫,南,低层,毛坯
14,25862元/平米,麓山国际碧湖岸,464平米,1200万,8室3厅5卫,南,低层,简装修
15,21041元/平米,光明城市,64.16平米,135万,2室2厅1卫,南北,高层,精装修
16,16225元/平米,美城云庭,151平米,245万,3室2厅2卫,东西,低层,毛坯
17,16667元/平米,远大中央公园,84平米,140万,2室2厅1卫,东南,中层,毛坯
18,14826元/平米,佳兆业君汇上品,172平米,255万,5室1厅3卫,南北,中层,毛坯
19,14500元/平米,远大中央公园,140平米,203万,4室2厅2卫,西,低层,毛坯
20,16944元/平米,瑞升橡树林华府,72平米,122万,2室1厅1卫,东,高层,简装修
21,30137元/平米,麓山国际叠溪谷,365平米,1100万,5室4厅4卫,东,低层,豪华装修
23,13953元/平米,欧香小镇别墅,430平米,600万,4室2厅2卫,南,高层,毛坯
25,20548元/平米,麓山国际社区茵特拉肯,219平米,450万,4室3厅3卫,东南,低层,精装修
26,12892元/平米,三利麓山城,83平米,107万,2室2厅1卫,南北,低层,简装修
27,15678元/平米,左岸花都,199平米,312万,4室3厅3卫,南北,高层,精装修
28,33632元/平米,麓山国际橡树坡,892平米,3000万,5室3厅7卫,南,低层,毛坯
29,17865元/平米,恒大名都,89平米,159万,3室2厅2卫,南,高层,精装修
0,33632元/平米,麓山国际橡树坡,892平米,3000万,5室3厅7卫,南,低层,毛坯
1,17865元/平米,恒大名都,89平米,159万,3室2厅2卫,南,高层,精装修
2,15222元/平米,和贵馨城,229.93平米,350万,4室2厅3卫,东,高层,简装修
3,15004元/平米,和贵馨城,321.92平米,483万,5室2厅3卫,南,高层,精装修
4,16667元/平米,戛纳滨江,90平米,150万,3室2厅2卫,南北,低层,精装修
5,18939元/平米,德商华府天骄,66平米,125万,3室2厅1卫,西,低层,毛坯
6,10519元/平米,城南领寓,54平米,56.8万,1室1厅1卫,南北,高层,精装修
7,16216元/平米,融创Nano公馆,37平米,60万,1室1厅1卫,东南,高层,精装修
8,16779元/平米,佳兆业君汇上品,86.42平米,145万,3室2厅1卫,西,高层,毛坯
9,16102元/平米,麓山国际茵特拉肯,133.52平米,215万,3室2厅2卫,东南,低层,精装修
10,19828元/平米,蜀郡一期,116平米,230万,3室2厅2卫,东,中层,中装修
11,20776元/平米,宏达世纪锦城,84.23平米,175万,2室1厅1卫,东,低层,精装修
12,19872元/平米,蜀郡一期,156平米,310万,3室2厅2卫,南,低层,精装修
13,19381元/平米,保利叶语,97平米,188万,3室2厅1卫,南北,中层,精装修
14,22036元/平米,麓山国际麓镇帕萨迪纳,126.16平米,278万,3室2厅2卫,南北,低层,毛坯
16,26068元/平米,成都雅居乐花园别墅,234平米,610万,5室2厅4卫,南,低层,精装修
17,15458元/平米,碧桂园海昌天澜,262平米,405万,4室2厅3卫,南北,高层,简装修
19,10054元/平米,雅居乐花园,184平米,185万,4室2厅3卫,西南,高层,毛坯
20,16871元/平米,恒大天府半岛,147平米,248万,3室2厅2卫,南,中层,精装修
21,19326元/平米,新鸿基悦城,163.51平米,316万,4室2厅2卫,南北,中层,豪华装修
22,39548元/平米,麓湖生态城蓝花屿,354平米,1400万,5室3厅4卫,南,低层,精装修
23,11667元/平米,铂雅苑,360平米,420万,4室2厅2卫,东南,低层,豪华装修
24,19068元/平米,天府美岸,118平米,225万,4室2厅2卫,东西,中层,毛坯
25,20595元/平米,宏达世纪锦城,84平米,173万,2室2厅1卫,西,低层,豪华装修
26,15414元/平米,麓山国际茵特拉肯,133平米,205万,2室2厅1卫,南北,低层,精装修
28,16290元/平米,麓山国际社区茵特拉肯,221平米,360万,3室2厅2卫,西南,中层,毛坯
29,21321元/平米,麓山国际圣安德鲁,333平米,710万,5室3厅3卫,东,低层,毛坯
0,19068元/平米,天府美岸,118平米,225万,4室2厅2卫,东西,中层,毛坯
1,20595元/平米,宏达世纪锦城,84平米,173万,2室2厅1卫,西,低层,豪华装修
2,15414元/平米,麓山国际茵特拉肯,133平米,205万,2室2厅1卫,南北,低层,精装修
4,16290元/平米,麓山国际社区茵特拉肯,221平米,360万,3室2厅2卫,西南,中层,毛坯
5,21321元/平米,麓山国际圣安德鲁,333平米,710万,5室3厅3卫,东,低层,毛坯
6,21192元/平米,麓山国际拉佩维尔,151平米,320万,4室2厅2卫,南北,低层,毛坯
7,19896元/平米,麓山国际塞尔维蒙,145.76平米,290万,2室2厅2卫,南北,高层,精装修
8,20299元/平米,麓山国际,335平米,680万,4室2厅3卫,北,高层,简装修
10,14249元/平米,新鸿基悦城,192.99平米,275万,4室2厅3卫,南北,低层,毛坯
11,18182元/平米,佳兆业君汇上品,132平米,240万,4室2厅2卫,东西,高层,精装修
12,14722元/平米,天府美岸,180平米,265万,4室2厅3卫,南北,高层,毛坯
13,30480元/平米,麓山国际橡树坡,479平米,1460万,5室3厅5卫,南,低层,豪华装修
14,9668元/平米,雅居乐富春山居,331平米,320万,4室2厅4卫,东,低层,毛坯
15,20391元/平米,麓山国际拉佩维尔,179平米,365万,3室2厅2卫,东,中层,豪华装修
16,20000元/平米,麓山国际社区云曦台,150平米,300万,4室2厅3卫,南,中层,毛坯
19,19947元/平米,麓山国际圣安德鲁,376平米,750万,5室3厅5卫,南,低层,毛坯
20,14400元/平米,鑫苑鑫都汇,75平米,108万,3室2厅1卫,南,中层,简装修
21,18719元/平米,成都雅居乐花园别墅,203平米,380万,5室2厅4卫,南,低层,毛坯
22,25263元/平米,万锦城,95平米,240万,5室1厅1卫,南北,高层,毛坯
24,8800元/平米,三都汇朝外,90平米,79.2万,3室1厅1卫,西北,中层,毛坯
25,16667元/平米,麓山国际社区云曦台,99平米,165万,3室2厅2卫,南,中层,毛坯
26,12107元/平米,麓山国际社区茵特拉肯,413平米,500万,7室3厅4卫,南北,高层,毛坯
27,13043元/平米,中铁诺德壹号,115平米,150万,3室2厅2卫,南,中层,毛坯
28,21238元/平米,麓山国际社区茵特拉肯,150.67平米,320万,4室3厅2卫,东南,中层,毛坯
29,10802元/平米,金南园,162平米,175万,4室2厅2卫,南北,高层,精装修
0,16667元/平米,麓山国际社区云曦台,99平米,165万,3室2厅2卫,南,中层,毛坯
1,12107元/平米,麓山国际社区茵特拉肯,413平米,500万,7室3厅4卫,南北,高层,毛坯
2,13043元/平米,中铁诺德壹号,115平米,150万,3室2厅2卫,南,中层,毛坯
3,21238元/平米,麓山国际社区茵特拉肯,150.67平米,320万,4室3厅2卫,东南,中层,毛坯
4,10802元/平米,金南园,162平米,175万,4室2厅2卫,南北,高层,精装修
5,13812元/平米,麓山国际圣芭芭拉,362平米,500万,5室3厅4卫,南,低层,简装修
6,15616元/平米,心怡紫晶城,134.48平米,210万,3室2厅2卫,南,低层,精装修
7,15500元/平米,万锦城,100平米,155万,3室3厅2卫,南,中层,毛坯
10,14824元/平米,鑫苑鑫都汇,85平米,126万,3室2厅1卫,南,中层,毛坯
